"id","english_definition","chinese_id.car","chinese_id.simplified_chinese","chinese_id.link","chinese_id.link_nuovo","rom_id.rom"
5355,"0.1 yuan","毫","毫",,,"hao^"
2087,"10th solar month (7th November-6th December)","亥","亥",,,"hai\"
4944,"15th day of month (lunar calendar)/old variant of 望[wàng]","朢","望",,,"¨vang/"
6670,"15 years old/hairpin for bun","笄","笄",,,"ki¯"
3714,"1st solar month (4th February-5th March)","寅","寅",,,"y^"
3715,"1st solar month (4th February-5th March)","寅","寅",,,"in^"
4123,"20)","念","念",,,"nien/"
2765,"2nd solar month (6th March-4th April)","卯","卯",,,"mao\"
4867,"3-5 p.m.","晡","晡",,,"pu¯"
8549,"3rd solar month (5th April-4th May)","辰","辰",,,"xin^"
3866,"4th solar month (5th May-5th June)","巳","巳",,,"su̇/"
4672,"50 kg)/two buckets full/carrying pole and its load/classifier for loads carried on a shoulder pole or to undertake/to carry/to shoulder/to take responsibility","擔","担",,,"tan¯"
4949,"6th solar month (7th July-6th August)","未","未",,,"¨vy/"
2942,"8 in. length unit of Zhou dynasty","咫","咫",,,"chi\"
8722,"8th solar month (8th September-7th October)","酉","酉",,,"ieu\"
4395,"9th solar month (8th October-6th November) or see 屈戌兒|屈戌儿[qū qu er]","戌","戌",,,"siu̇˘"
9455,"abalone or surname Bao","鮑","鲍",,,"pao\"
8959,"abbr. for Afghanistan 阿富汗[Ā fù hàn] or flatter or kinship terms etc to indicate familiarity/used in transliteration/also pr. [a4]","阿","阿",,,"o¯"
6285,"abbr. for Anhui Province 安徽省[Ān huī Shěng]","皖","皖",,,"v̈on\"
2644,"abbr. for Canada 加拿大[Jiā ná dà]/surname Jia or 大","加","加",,,"kia¯"
7542,"abbr. for China or Mt Hua 華山|华山 in Shaanxi/surname Hua or old variant of 花[huā]/flower or magnificent/splendid/flowery","華","崋",,,"hoa^"
9603,"abbr. for Guizhou province 貴州|贵州[Guì zhōu]","黔","黔",,,"kien^'"
9602,"abbr. for Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] or black/dark/sinister/secret/shady/illegal/to hide (sth) away/to vilify/(loanword) to hack (computing)","黑","黑",,,"he˘"
8233,"abbr. for Henan province 河南 in central China or happy/carefree/at one's ease/variant of 預|预[yù]/old variant of 與|与[yù]","豫","豫",,,"iụ/"
8710,"abbr. for Hubei Province 湖北省[Hú běi Shěng] in central China/surname E","鄂","鄂",,,"ngo˘"
5599,"abbr. for Hunan 湖南 province in south central China/abbr. for Xiangjiang river in Hunan province","湘","湘",,,"siang¯"
2130,"abbr. for Israel 以色列[Yǐ sè liè] or to use/by means of/according to/in order to/because of/at (a certain date or place)","以","以",,,"y\"
8324,"abbr. for Jiangxi Province 江西省[Jiāng xī Shěng]/Gan River in Jiangxi Province 江西省[Jiāng xī Shěng]","贛","赣",,,"kan/"
8975,"abbr. for Shaanxi 陝西|陕西 province","陝","陕",,,"xen\"
3849,"abbr. for Sichuan Province 四川[Sì chuān] in southwest China or river/creek/plain/an area of level country","川","川",,,"chuen¯'"
4778,"abbr. for the Big Dipper constellation 北斗星[Běi dǒu xīng] or dry measure for grain equal to ten 升[shēng] or one-tenth of a 石[dàn]/decaliter/peck/cup or dipper shaped object/old variant of 陡[dǒu]","斗",,,,"teu\"
7545,"abbr. for the Philippines 菲律賓|菲律宾[Fēi lu:4 bīn] or poor/humble/unworthy/radish (old) or luxuriant (plant growth)/rich with fragrance/phenanthrene C14H10","菲","菲",,,"fi¯"
4796,"abbr. for Xinjiang 新疆[Xīn jiāng] or Singapore 新加坡[Xīn jiā pō]/surname Xin or new/newly/meso- (chemistry)","新","新",,,"sin¯"
5508,"abbr. for Zhejiang 浙江 province in east China","浙","浙",,,"chė˘"
4923,"abbr. for 書經|书经[Shū jīng] or 冊|册[ce4]","書","书",,,"xu̇¯"
4942,"abbr. for 朝鮮|朝鲜[Cháo xiǎn] Korea or morning or imperial or royal court/government/dynasty/reign of a sovereign or emperor/court or assembly held by a sovereign or emperor/to make a pilgrimage to/facing/towards","朝","朝",,,"chao^'"
4943,"abbr. for 朝鮮|朝鲜[Cháo xiǎn] Korea or morning or imperial or royal court/government/dynasty/reign of a sovereign or emperor/court or assembly held by a sovereign or emperor/to make a pilgrimage to/facing/towards","朝","朝",,,"chao¯"
5585,"abbr. for 香港[Xiang1 gang3]/surname Gang or harbor/port/CL:個|个[gè]","港","港",,,"kiang\"
7309,"abdomen/stomach/belly","腹","腹",,,"fȯ˘"
3597,"a beauty or beautiful (woman)","媛","媛",,,"iuen^"
4422,"ability/talent/sb of a certain type/a capable individual/only/only then/just now","才","才",,,"çai^'"
6766,"a book/a register/account-book","簿","簿",,,"pu/"
6767,"a book/a register/account-book","簿","簿",,,"po˘"
2487,"about 6 ares","克","克",,,"ke˘'"
9378,"a breed of horse/variant of 歡|欢[huān]","驩","欢",,,"huon¯"
6200,"a bruise or contusion","痏","痏",,,"goei\"
5952,"abrupt/sudden/unexpected","猝","猝",,,"ço˘'"
3503,"absurd/fantastic/presumptuous/rash","妄","妄",,,"¨vang/"
